epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.2491,0.68882,0.36174,1.10985,0.98991,0.99256,0.99437,0.86158,0.60334,0.29001,1.06007,0.000660066,0.000660066,0.000660066
2,40.139,0.703,0.4077,1.12624,0.97318,0.99027,0.99346,0.85443,0.62064,0.35128,1.10007,0.0013136,0.0013136,0.0013136
3,56.2034,0.73241,0.45436,1.14691,0.98726,0.98263,0.99443,0.83731,nan,nan,nan,0.00195393,0.00195393,0.00195393
4,71.5148,0.73336,0.45155,1.15008,0.99012,0.99438,0.99454,0.82928,0.69918,0.34135,1.13655,0.0019406,0.0019406,0.0019406
5,91.1612,0.71412,0.44505,1.13786,0.98718,1,0.9947,0.85908,0.59309,0.31408,1.07291,0.0019208,0.0019208,0.0019208
6,106.792,0.7208,0.43062,1.14278,0.99052,0.98759,0.99467,0.85067,0.63258,0.33203,1.10052,0.001901,0.001901,0.001901
7,126.472,0.6759,0.40299,1.10929,0.992,0.99752,0.99449,0.86928,0.6104,0.30965,1.0691,0.0018812,0.0018812,0.0018812
8,142.461,0.6796,0.41535,1.11382,0.99136,0.99007,0.99447,0.86258,0.60658,0.31868,1.07268,0.0018614,0.0018614,0.0018614
9,160.187,0.67062,0.39495,1.10081,0.9893,0.99752,0.99457,0.87424,0.57709,0.29371,1.05639,0.0018416,0.0018416,0.0018416
10,176.025,0.66734,0.39179,1.1123,0.98288,0.99731,0.99419,0.86434,0.59327,0.29254,1.07333,0.0018218,0.0018218,0.0018218
11,191.603,0.6683,0.3811,1.1041,0.98982,1,0.99493,0.86418,0.61035,0.29407,1.08339,0.001802,0.001802,0.001802
12,210.329,0.64986,0.3789,1.08631,0.98451,0.99752,0.9947,0.86883,0.59201,0.28687,1.04738,0.0017822,0.0017822,0.0017822
13,226.543,0.65047,0.37056,1.09781,0.9914,1,0.9949,0.8667,0.61834,0.30326,1.0978,0.0017624,0.0017624,0.0017624
14,245.321,0.64317,0.37493,1.09249,0.99449,0.99752,0.99493,0.87366,0.58962,0.27752,1.056,0.0017426,0.0017426,0.0017426
15,262.212,0.62359,0.35099,1.08071,0.99506,0.99997,0.9949,0.87792,0.57604,0.26547,1.05052,0.0017228,0.0017228,0.0017228
16,277.891,0.63873,0.3712,1.07787,0.99504,0.99613,0.99498,0.87545,0.57953,0.28286,1.04312,0.001703,0.001703,0.001703
17,296.14,0.62007,0.35495,1.06919,0.99185,0.99752,0.99468,0.86837,0.56985,0.28472,1.02908,0.0016832,0.0016832,0.0016832
18,311.622,0.64323,0.36083,1.07894,0.99506,0.99961,0.99472,0.88636,0.56066,0.25734,1.0388,0.0016634,0.0016634,0.0016634
19,329.778,0.61918,0.35622,1.06519,0.99184,1,0.99477,0.88363,0.56222,0.28147,1.02325,0.0016436,0.0016436,0.0016436
20,345.242,0.60976,0.33858,1.06794,0.99506,0.99996,0.99485,0.88407,0.55552,0.26133,1.02477,0.0016238,0.0016238,0.0016238
21,363.847,0.61869,0.35273,1.07137,0.99435,1,0.9949,0.89004,0.53337,0.24707,1.01924,0.001604,0.001604,0.001604
22,379.3,0.59971,0.34149,1.05019,0.99752,0.9995,0.99488,0.88825,0.56797,0.26866,1.03829,0.0015842,0.0015842,0.0015842
23,395.145,0.59439,0.33417,1.05599,0.99506,0.99947,0.99483,0.89376,0.54763,0.25279,1.02038,0.0015644,0.0015644,0.0015644
24,413.841,0.59745,0.33038,1.04552,0.99443,1,0.99483,0.89164,0.51951,0.25145,0.9964,0.0015446,0.0015446,0.0015446
25,430.595,0.5943,0.33329,1.04829,0.98986,0.99752,0.99477,0.89252,0.53503,0.24974,1.01846,0.0015248,0.0015248,0.0015248
26,449.156,0.58415,0.31871,1.03983,0.99453,1,0.9949,0.88556,0.55115,0.24536,1.01328,0.001505,0.001505,0.001505
27,465.283,0.59096,0.3252,1.04883,0.99721,0.99504,0.99485,0.89535,0.54586,0.24643,1.01657,0.0014852,0.0014852,0.0014852
28,485.28,0.57171,0.31796,1.03303,0.99716,0.99752,0.99495,0.90352,0.51864,0.24345,1.00317,0.0014654,0.0014654,0.0014654
29,502.259,0.56715,0.31086,1.03418,0.99217,1,0.9949,0.89437,0.53607,0.24518,1.02689,0.0014456,0.0014456,0.0014456
30,519.234,0.57092,0.315,1.03476,0.99506,0.99976,0.99485,0.89441,0.55459,0.24808,1.01599,0.0014258,0.0014258,0.0014258
31,538.843,0.57399,0.31364,1.02998,0.99188,1,0.99478,0.88386,0.55028,0.24486,1.03998,0.001406,0.001406,0.001406
32,555.718,0.57874,0.31631,1.03755,0.99724,1,0.99495,0.89169,0.54483,0.2424,1.00888,0.0013862,0.0013862,0.0013862
33,572.464,0.57184,0.31302,1.02824,0.99104,1,0.99482,0.89755,0.54129,0.23757,1.01555,0.0013664,0.0013664,0.0013664
34,592.367,0.57502,0.30966,1.03851,0.99496,1,0.99493,0.89322,0.53778,0.24736,1.01033,0.0013466,0.0013466,0.0013466
35,608.758,0.55565,0.30423,1.02779,0.99727,1,0.995,0.90502,0.52379,0.22661,0.99962,0.0013268,0.0013268,0.0013268
36,628.88,0.54439,0.30036,1.01666,0.99237,1,0.99488,0.89572,0.52344,0.22674,1.01057,0.001307,0.001307,0.001307
37,645.486,0.5478,0.30249,1.01233,0.99752,0.99986,0.99498,0.90882,0.52367,0.24868,1.01,0.0012872,0.0012872,0.0012872
38,662.253,0.56668,0.31088,1.02065,0.9898,1,0.99427,0.89401,0.53912,0.23513,1.00096,0.0012674,0.0012674,0.0012674
39,681.731,0.52885,0.28948,1.00594,0.99505,1,0.99498,0.90045,0.53327,0.22811,0.98318,0.0012476,0.0012476,0.0012476
40,698.393,0.5422,0.29476,1.01895,0.99752,0.9997,0.99493,0.89939,0.52609,0.23783,0.99764,0.0012278,0.0012278,0.0012278
41,718.214,0.53867,0.29559,1.01048,0.99506,0.99961,0.99488,0.91226,0.50958,0.22536,0.98669,0.001208,0.001208,0.001208
