epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7181,0.63879,0.29462,1.09925,0.99249,0.98435,0.99416,0.8469,0.67432,0.33865,1.16423,0.000660066,0.000660066,0.000660066
2,37.989,0.66191,0.36649,1.13666,0.98055,0.97519,0.99399,0.83985,0.67662,0.38707,1.11738,0.00119539,0.00119539,0.00119539
3,55.4539,0.65972,0.3735,1.13952,0.98018,0.98195,0.99397,0.85132,nan,nan,nan,0.00159871,0.00159871,0.00159871
4,73.8907,0.62627,0.34944,1.09767,0.99085,0.99504,0.99483,0.86037,0.61983,0.35075,1.09314,0.001406,0.001406,0.001406
5,92.3024,0.60133,0.32109,1.07392,0.99009,0.99169,0.99472,0.86981,0.58872,0.3082,1.0726,0.001208,0.001208,0.001208
6,110.249,0.58596,0.31016,1.07072,0.99505,0.99692,0.99475,0.88127,0.58137,0.28288,1.05687,0.00101,0.00101,0.00101
7,127.185,0.55226,0.28296,1.04952,0.99254,0.99504,0.99483,0.89009,0.56183,0.26904,1.05177,0.000812,0.000812,0.000812
8,143.814,0.52361,0.26782,1.01922,0.99466,1,0.9947,0.89632,0.56661,0.26405,1.0574,0.000614,0.000614,0.000614
9,161.425,0.50853,0.24848,0.99747,0.98975,1,0.9948,0.90443,0.52437,0.2374,1.01635,0.000416,0.000416,0.000416
10,178.994,0.48483,0.2284,0.98573,0.99246,1,0.99493,0.90865,0.52418,0.23023,1.00586,0.000218,0.000218,0.000218
